,prices,rarity,mana_cost,colors,set
59,0.10,uncommon,{3}{W},['W'],emn
60,0.99,rare,{R},['R'],akh
61,0.04,uncommon,{3}{W}{W},['W'],aer
62,0.08,common,{7}{G},['G'],cns
63,,uncommon,{6},[],td2
64,0.27,rare,{G}{G}{G},['G'],eld
65,0.19,common,{1}{W},['W'],a25
66,0.15,common,{R/W},"['R', 'W']",rav
67,0.01,uncommon,{3},[],mh2
68,0.43,uncommon,{4}{R},['R'],p02
69,0.06,uncommon,{G},['G'],ths
70,0.12,common,,[],m19
71,0.03,common,{1}{B},['B'],avr
72,0.01,common,{4}{W},['W'],afr
73,0.02,common,{3}{B},['B'],ktk
74,1.42,rare,{4},[],afc
75,0.10,common,{B},['B'],dom
76,0.01,common,{3}{W},['W'],afr
77,0.31,common,{B},['B'],zen
78,4.99,common,{G},['G'],afc
79,1.69,rare,,[],afc
80,3.56,rare,{3}{B}{B},['B'],c17
81,,uncommon,{2},[],td2
82,0.10,common,{1}{R},['R'],isd
83,,common,{2}{U},['U'],vma
84,0.19,rare,{3}{U}{U},['U'],c21
85,0.10,uncommon,{4}{W},['W'],war
86,0.16,uncommon,{2}{G},['G'],dst
87,0.24,uncommon,,[],mic
88,0.23,uncommon,{4}{B}{B},['B'],7ed
89,0.02,common,{4},[],mbs
90,4.56,rare,{G},['G'],c16
91,0.03,common,{4}{B},['B'],m15
92,,common,,,aafr
93,12.98,rare,{1}{B},['B'],c16
94,0.06,uncommon,{2}{U},['U'],wwk
95,0.09,common,{1}{U},['U'],frf
96,0.10,common,{3}{B},['B'],tmp
97,,common,,,astx
98,0.22,rare,{3}{U}{U},['U'],tmp
99,0.13,rare,{2}{R},['R'],mh1
100,0.03,uncommon,{1}{W},['W'],bfz
101,,common,{2}{U},['U'],j21
102,0.05,common,{1}{U},['U'],gs1
103,1.28,uncommon,{2}{U}{U},['U'],ody
104,0.02,common,{3}{B},['B'],m21
105,0.06,uncommon,{3}{U/R},"['R', 'U']",mm2
106,0.85,uncommon,{1}{W}{B},"['B', 'W']",mh1
107,21.76,rare,{3}{U}{U},['U'],pca
108,0.18,uncommon,{2}{R}{W},"['R', 'W']",war
109,0.02,common,{3}{U}{U},['U'],rix
110,0.11,uncommon,{2}{R},['R'],nem
111,10.68,rare,{2}{G/W}{G/W}{G/W},"['G', 'W']",shm
112,0.09,common,{G},['G'],scg
113,1.62,rare,{5},[],ala
114,0.05,common,{3}{B},['B'],mir
115,0.47,rare,{U}{U}{B}{B}{B}{R}{R},"['B', 'R', 'U']",e01
116,0.27,uncommon,{W/U}{W/U},"['U', 'W']",shm
117,0.14,common,{2}{W},['W'],khm
118,0.19,common,{1}{G},['G'],scg
119,0.01,common,{1}{G/U},"['G', 'U']",stx
120,,common,{W},['W'],me3
121,0.10,uncommon,{G}{U},"['G', 'U']",eld
122,0.03,common,{R},['R'],wwk
123,0.09,uncommon,{2}{R},['R'],jou
124,0.20,common,{1}{U},['U'],jud
125,0.01,common,{2}{U},['U'],thb
126,0.16,common,{1}{W},['W'],afr
127,,common,,,avow
128,0.02,uncommon,{4}{G}{G},['G'],thb
129,0.13,common,{1},[],mrd
130,2.12,rare,{2}{R},['R'],fem
131,0.01,common,{1}{W},['W'],m19
132,0.06,uncommon,{1},[],eld
133,0.08,common,{1}{W},['W'],m13
134,73.29,mythic,{4}{G},['G'],2xm
135,0.10,common,{4}{G},['G'],pls
136,0.02,uncommon,{2}{B}{R},"['B', 'R']",m19
137,,rare,{6}{W}{W},['W'],me3
138,0.17,rare,{10}{U}{U},['U'],khm
139,0.02,common,{1}{R},['R'],bfz
140,,common,,['R'],tc18
141,0.10,uncommon,{U},['U'],khm
142,0.05,common,{4}{B}{B},['B'],m14
143,0.39,rare,{2}{R},['R'],frf
144,0.10,uncommon,{3}{G},['G'],wwk
145,0.13,common,{4}{R}{R},['R'],ust
146,0.05,common,{3}{B},['B'],ogw
147,11.44,common,{R},['R'],ptk
148,0.07,uncommon,{3}{R},['R'],jmp
149,0.86,uncommon,{B},['B'],ema
150,0.45,uncommon,,[],c17
151,0.03,common,{4}{B},['B'],soi
152,,common,{2}{B},['B'],tpr
153,1.32,rare,{2}{G}{G},['G'],cmb2
154,0.26,uncommon,{4}{R},['R'],m13
155,0.13,uncommon,{5}{R}{R},['R'],bok
156,0.05,common,{1}{G},['G'],ths
157,0.01,common,{4}{G},['G'],ori
158,0.13,uncommon,{1}{R},['R'],ons
159,0.04,common,{2}{U},['U'],akh
160,0.51,rare,{3}{W}{W}{W},['W'],cm2
161,4.60,rare,{2}{R},['R'],wth
162,0.04,uncommon,{4}{U},['U'],aer
163,0.63,mythic,{2}{G}{U},"['G', 'U']",c20
164,0.64,rare,{6}{R}{R},['R'],emn
165,0.03,common,{4}{G},['G'],zen
166,0.15,rare,{2}{R}{R},['R'],emn
167,0.21,rare,{4}{U}{R},"['R', 'U']",c17
168,0.02,common,{3}{B}{B},['B'],m19
169,,common,{3}{W},['W'],me3
170,3.28,rare,{7},[],5dn
171,0.75,common,,[],oe01
172,3.82,rare,{3}{G},['G'],bbd
173,0.30,rare,{3}{R}{R},['R'],ori
174,0.14,rare,{G}{G},['G'],hou
175,22.29,mythic,{3},[],2xm
176,2.64,rare,{W}{W},['W'],ema
177,1.16,rare,{3}{G}{G},['G'],jou
178,0.09,common,{1}{R},['R'],chk
179,0.10,uncommon,{3},[],2xm
180,0.14,uncommon,{1}{G}{U},[],ogw
181,0.11,uncommon,{3}{B},['B'],gpt
182,0.06,common,{G}{W},"['G', 'W']",con
183,0.77,rare,{1}{U}{R},"['R', 'U']",grn
184,,uncommon,{1}{W},['W'],anb
185,0.86,rare,{1}{B}{B},['B'],jou
186,0.32,rare,{1}{B},['B'],mic
187,0.08,common,,['W'],takh
188,0.24,common,,['W'],twar
189,0.14,uncommon,{5}{G},['G'],inv
190,2.22,rare,{W}{W},['W'],vow
191,0.04,common,{2}{R},['R'],aer
192,,common,,,mmh2
193,0.09,common,{2}{R},['R'],rna
194,,uncommon,{3}{R},['R'],me4
195,13.09,rare,{3}{W},['W'],c14
196,0.03,common,{2}{W}{U},"['U', 'W']",rna
197,1.09,rare,{5}{U}{U},['U'],rav
198,0.24,common,,,phel
199,40.38,rare,,[],wth
200,4.23,rare,{U}{U},['U'],vis
201,0.16,uncommon,{2}{G/U}{W},"['G', 'U', 'W']",arb
202,0.04,common,{1}{W},['W'],akh
203,0.07,common,{2}{B},['B'],mrd
204,0.09,uncommon,{1}{G},['G'],gvl
205,2.62,common,{U},['U'],c21
206,0.10,rare,{1}{U},['U'],c19
207,0.25,rare,{3}{R},['R'],c20
208,0.15,rare,{2}{B}{B},['B'],rix
209,0.11,uncommon,{5}{G},['G'],dka
210,,common,,,aafr
211,0.09,common,{1}{W},['W'],rna
212,1.44,rare,{2}{W}{W},['W'],all
213,0.08,common,{2}{G},['G'],gn2
214,10.65,rare,{2}{B}{B},['B'],c17
215,0.09,common,{2}{U},['U'],w17
216,0.14,uncommon,,[],tsr
217,4.55,uncommon,,[],mic
218,29.78,mythic,{1}{R}{R},['R'],mh1
219,0.11,rare,{5}{G}{G},['G'],c20
220,1.50,rare,{U}{B}{R},"['B', 'R', 'U']",cmb2
221,0.24,rare,{3}{U}{U},['U'],usg
222,0.04,common,{2}{W},['W'],mir
223,8.26,rare,{1}{W}{W}{U},"['U', 'W']",ima
224,0.11,common,{G},['G'],mir
225,0.11,rare,{3}{W},['W'],mh2
226,0.01,common,{1}{R},['R'],mh2
227,0.66,rare,{1}{U}{U},['U'],xln
228,0.01,common,{U}{U},['U'],cmr
229,0.02,common,{4}{G},['G'],mh1
230,292.00,rare,{3}{R}{R},['R'],ptk
231,0.17,uncommon,{2}{U/R},"['R', 'U']",eve
232,,rare,,[],vma
233,124.00,rare,,[],pvan
234,,common,,,akhm
235,0.08,common,{1}{B},['B'],sok
236,0.06,common,{2},[],cmr
237,1.26,uncommon,{3}{W}{W}{B}{B},"['B', 'W']",uma
238,0.04,common,{2}{W},['W'],5dn
239,,uncommon,{1}{B}{R},"['B', 'R']",me1
240,4.20,mythic,{2}{R}{W},"['R', 'W']",iko
241,0.12,common,{1}{G},['G'],dde
242,2.22,rare,{5}{G}{G},['G'],ala
243,0.37,uncommon,{1}{U},['U'],m15
244,0.61,common,{R},['R'],csp
245,0.01,common,{4}{G},['G'],iko
246,0.24,uncommon,,[],mic
247,0.64,rare,{2}{W/U}{W/U},"['U', 'W']",cm2
248,5.34,rare,{2}{U}{U},['U'],dis
249,10.55,rare,,[],mh1
250,0.25,common,,,emn
251,1.51,rare,{5}{U},['U'],bbd
252,0.11,uncommon,{3}{G}{W},"['G', 'W']",rav
253,0.12,common,{1}{B},['B'],frf
254,0.25,common,{2},[],shm
255,0.94,rare,{2}{R},['R'],tsr
256,3.51,rare,,[],xln
257,0.06,uncommon,{2}{B},['B'],bng
258,0.10,common,{2}{W},['W'],ddl
259,3.03,rare,{2}{R}{R},['R'],m19
260,0.23,uncommon,{4}{B},['B'],5ed
261,1.86,rare,{3}{B}{B},['B'],c16
262,0.02,common,{3}{B},['B'],iko
263,0.48,rare,{2}{W}{W},['W'],9ed
264,1.59,rare,{1}{B},['B'],bbd
265,0.16,rare,{2}{G},['G'],c20
266,0.07,common,{3}{B},['B'],10e
267,,common,,['G'],tmid
268,0.21,uncommon,{1}{W/P},['W'],nph
269,0.21,uncommon,{1}{R},['R'],ons
270,0.20,uncommon,{B},['B'],akh
271,0.02,uncommon,{2}{W},['W'],afr
272,0.10,common,{1}{B},['B'],wth
273,10.88,rare,{3}{R}{R},['R'],roe
274,0.84,uncommon,{1}{B},['B'],tor
275,0.07,common,{1}{W},['W'],mor
276,0.12,common,{W},['W'],jud
277,0.23,common,{B},['B'],unh
278,0.01,common,{1}{U},['U'],khm
279,0.03,common,{4}{U},['U'],cns
280,1.87,common,,[],tddi
281,0.97,rare,,[],cmb2
282,,common,,[],fjmp
283,2.18,rare,,[],cmb2
284,0.16,rare,{3}{W}{W},['W'],ori
285,0.07,uncommon,{3}{B},['B'],wwk
286,0.08,common,{2}{U},['U'],ons
287,0.15,rare,{2}{U}{R}{W},"['R', 'U', 'W']",ktk
288,4.46,rare,{3}{W},['W'],usg
289,,common,,['R'],tmid
290,0.09,uncommon,{1}{U},['U'],avr
291,0.05,common,{1}{B},['B'],5dn
292,0.22,common,{2}{B},['B'],som
293,0.02,common,{3}{G},['G'],bfz
294,,mythic,{2}{U}{R},"['R', 'U']",c21
295,0.05,common,{6}{G}{G},['G'],uma
296,0.10,rare,{2}{B}{B},['B'],aer
297,0.03,uncommon,{1}{U},['U'],thb
298,0.19,common,{U},['U'],rtr
299,0.49,rare,{3}{W}{W},['W'],ddf
300,0.05,common,{2}{G},['G'],akh
301,0.81,rare,{1}{U},['U'],c16
302,,common,,[],ttsr
303,0.23,common,{3}{R},['R'],ody
304,0.13,common,{3},[],ala
305,0.10,common,{1}{U},['U'],scg
306,1.30,rare,{7},[],cm2
307,0.46,common,,[],c21
308,0.09,uncommon,{1}{U},['U'],mor
309,0.10,uncommon,{1},[],stx
310,4.43,mythic,{3}{W}{W},['W'],znr
311,0.18,common,{2}{R},['R'],mmq
312,0.09,uncommon,{3}{B},['B'],znc
313,0.25,rare,{2}{R},['R'],pcy
314,0.24,common,{R},['R'],usg
315,0.21,rare,{2}{W}{W},['W'],akh
316,0.06,common,{B},['B'],shm
317,0.09,common,{3}{U},['U'],ddq
318,0.15,uncommon,{5},[],vis
319,0.15,common,{B},['B'],lrw
320,,mythic,{2}{B}{G},"['B', 'G']",cma
321,3.66,rare,{3},[],9ed
322,0.04,uncommon,{3}{W},['W'],thb
323,0.24,rare,{3}{R}{R},['R'],sok
324,0.12,uncommon,{3}{B},['B'],chk
325,0.10,common,{R},['R'],6ed
326,0.22,uncommon,{1}{B}{R},"['B', 'R']",ala
327,0.01,uncommon,{4}{G},['G'],stx
328,0.16,common,{B/G}{R},"['B', 'G', 'R']",arb
329,0.19,common,{1}{R}{R},['R'],gtc
330,0.15,uncommon,{R},['R'],dtk
331,0.14,uncommon,{3}{B},['B'],emn
332,0.15,uncommon,{3}{B}{B},['B'],tsr
333,0.61,rare,{3}{G}{G}{G},['G'],m20
334,24.27,rare,,[],mh1
335,0.03,common,{5}{B},['B'],mbs
336,0.25,uncommon,{2}{G},['G'],khc
337,0.19,uncommon,,[],c19
338,0.05,uncommon,{4}{G},['G'],avr
339,0.48,mythic,{4}{U},['U'],frf
340,,common,,,amh2
341,0.86,rare,{5}{G}{G},['G'],som
342,0.30,common,{3},[],shm
343,0.43,rare,{R}{R}{R},['R'],dom
344,0.09,common,{6},[],mma
345,0.08,uncommon,{2}{G},['G'],emn
346,0.09,common,{B},['B'],6ed
347,1.31,uncommon,{3}{U},['U'],lrw
348,0.01,common,{1}{U},['U'],mid
349,0.01,common,{3}{U},['U'],khm
350,0.78,rare,{4}{U},['U'],eld
351,0.07,common,{1}{R},['R'],mh2
352,1.50,uncommon,{3},[],akh
353,0.30,rare,{5},[],chk
354,0.45,rare,{3}{W}{U}{B},"['B', 'U', 'W']",2xm
355,0.04,common,{2}{G},['G'],bbd
356,0.24,rare,{2}{B}{B},['B'],dis
357,33.49,rare,{1}{B},['B'],bbd
358,0.06,uncommon,{2}{B},['B'],rix
359,0.17,uncommon,{3}{G}{G},['G'],mh2
360,0.36,rare,{5}{B}{B},['B'],cm2
361,7.82,rare,{X}{B}{B},['B'],c14
362,0.16,rare,{4}{R},['R'],inv
363,9.71,rare,{3}{U}{U}{U},['U'],eve
364,1.99,rare,{3}{U},['U'],m10
365,0.09,common,{1}{R},['R'],mor
366,,common,{3},[],me3
367,0.14,uncommon,{2}{U}{U},['U'],uds
368,0.18,uncommon,{X}{R}{R}{R},['R'],eve
369,0.03,common,{1}{G},['G'],khm
370,2.49,mythic,{4}{B}{R},"['B', 'R']",rna
371,0.26,rare,{3}{G},['G'],apc
372,0.01,common,{2}{R}{R},['R'],jmp
373,0.18,common,{5}{G},['G'],s99
374,,common,,,avow
375,0.16,uncommon,{1}{W},['W'],rix
376,0.01,common,{2}{U},['U'],rna
377,0.03,common,{3}{U},['U'],cn2
378,3.93,uncommon,{2}{U},['U'],a25
379,1.96,rare,{5},[],ust
380,0.20,rare,{X}{G} // {X}{R}{R},"['G', 'R']",akh
381,,uncommon,{B},['B'],me2
382,0.31,uncommon,{1}{B}{B},['B'],vow
383,0.01,common,{1}{G/W},"['G', 'W']",grn
384,0.06,common,{2}{U}{U},['U'],m15
385,0.21,uncommon,{3}{U},['U'],chk
386,0.01,common,{1}{W},['W'],iko
387,1.17,rare,{1}{B}{B},['B'],fem
388,0.16,uncommon,{1}{W},['W'],khm
389,10.73,rare,{2},[],2xm
390,,common,,[],tvow
391,1.05,uncommon,{G},['G'],m12
392,0.25,rare,{R}{G},"['G', 'R']",inv
393,0.71,rare,{4}{R}{R},['R'],2xm
394,,common,,['U'],teld
395,0.01,common,{3}{R},[],ogw
396,18.72,rare,,[],sok
397,0.25,common,{2}{W},['W'],c19
398,0.09,common,{1}{W/B},"['B', 'W']",gpt
399,12.00,common,,[],oarc
400,0.15,uncommon,{3}{U},['U'],bbd
401,3.80,rare,{3}{U}{U},['U'],roe
402,0.38,common,{1}{R},['R'],mor
403,,common,,['R'],tvow
404,,rare,,[],pmoa
405,0.11,common,{2},[],dka
406,,common,{2}{R}{R},['R'],tpr
407,0.10,common,{1}{R},['R'],rav
408,0.74,common,,[],oarc
409,0.24,rare,{6}{B}{B},['B'],mic
410,0.36,rare,{2}{G}{U},"['G', 'U']",rna
411,0.26,common,,[],thp1
412,0.19,rare,{4}{W}{B},"['B', 'W']",c21
413,11.10,rare,{3}{G},['G'],ody
414,0.10,uncommon,{1}{B},['B'],ddj
415,0.06,common,{2}{R},['R'],mir
416,,rare,,[],me3
417,0.20,rare,{2}{G},['G'],isd
418,0.01,common,{1}{B},['B'],xln
419,0.23,rare,{U}{B} // {4}{B}{R},"['B', 'R', 'U']",dgm
420,0.08,uncommon,{2}{R},['R'],ulg
421,0.01,common,{4}{R}{R},['R'],afr
422,0.03,uncommon,{2}{G},['G'],stx
423,0.04,uncommon,{3}{B},['B'],znr
424,10.58,rare,{1}{G},['G'],soi
425,0.14,common,{2}{G},['G'],ddm
426,0.18,uncommon,{5},[],shm
427,0.07,uncommon,{1}{B}{R},"['B', 'R']",dgm
428,0.04,common,{3}{U},['U'],bbd
429,,common,{X}{U},['U'],tpr
430,0.19,rare,{3}{R},['R'],mmq
431,0.25,rare,{4},[],ody
432,2.00,rare,{5}{G},['G'],ugl
433,0.14,rare,{1}{B}{G}{U},"['B', 'G', 'U']",iko
434,0.10,uncommon,{1}{R}{G},"['G', 'R']",dom
435,0.10,common,{1}{R},['R'],eve
436,30.15,rare,{3}{B},['B'],c20
437,0.10,common,{R}{G},"['G', 'R']",inv
438,3.82,common,{W},['W'],roe
439,0.05,common,{2}{R},['R'],mm3
440,0.10,rare,{1}{R},['R'],znr
441,0.14,common,{1}{W},['W'],scg
442,0.08,common,{2}{R},['R'],chk
443,0.77,uncommon,{1},[],unh
444,0.06,common,{G},['G'],ice
445,0.05,common,{2}{G},['G'],csp
446,0.22,uncommon,{1}{B}{G},"['B', 'G']",apc
447,0.06,common,{1}{R},['R'],gs1
448,4.34,mythic,{W}{W}{W},['W'],afr
449,0.10,uncommon,{1}{W},['W'],ogw
450,7.86,mythic,{3}{U}{B},"['B', 'U']",bng
451,0.14,common,{3}{U},['U'],mh1
452,0.18,uncommon,,[],afc
453,0.34,uncommon,{W},['W'],cmd
454,,mythic,{1}{B},['B'],hho
455,0.03,common,{1}{B},[],ogw
456,0.52,common,{1}{B},['B'],som
457,0.01,common,{3},[],2xm
458,0.17,rare,{2}{U}{U},['U'],afc
459,0.01,common,{3}{B},['B'],stx
460,0.43,rare,{2}{G}{U},"['G', 'U']",gtc
461,12.72,common,{G},['G'],ptk
462,0.17,common,{2}{U},['U'],fut
463,0.09,uncommon,{3}{R}{R},['R'],8ed
464,0.01,common,{1}{B},['B'],afr
465,0.22,rare,{2}{B}{B},['B'],avr
466,0.11,common,{0},[],dtk
467,0.14,uncommon,,[],c18
468,,common,{2}{W}{W},['W'],past
469,13.88,rare,{2}{U},['U'],uds
470,0.45,common,{1}{G},['G'],mor
471,0.08,uncommon,{X}{U},['U'],gtc
472,0.10,uncommon,{5}{U},['U'],inv
473,0.05,common,{3}{B}{B},['B'],grn
474,,common,,['B'],ttsr
475,0.09,common,{B},['B'],dom
476,,mythic,{4}{R}{W},"['R', 'W']",xln
477,0.17,common,{U/R}{B},"['B', 'R', 'U']",arb
478,,common,,[],wc98
479,0.05,common,{2}{B},['B'],5dn
480,1.21,common,,[],mic
481,0.25,common,,"['R', 'W']",tmm3
482,0.13,uncommon,{1}{G}{W},"['G', 'W']",tmp
483,0.08,common,{G},['G'],bng
484,0.07,common,{2}{R}{R},['R'],ust
485,,rare,{3}{R}{R},['R'],tpr
486,1.71,rare,{3},[],mh2
487,0.01,common,{3}{U},['U'],grn
488,,common,,,amid
489,0.09,common,{3}{U},['U'],jmp
490,0.09,common,{3}{R},['R'],ons
491,1.68,rare,,[],tsr
492,0.01,common,{2}{B},['B'],iko
493,0.06,common,{2}{B},['B'],kld
494,7.25,rare,{3}{B}{B},['B'],chk
495,0.10,rare,{5}{W}{W},['W'],afc
496,0.01,common,{2}{W},['W'],iko
497,0.01,common,{1}{R},['R'],akh
498,,uncommon,{3}{R},['R'],vma
499,2.87,mythic,{2}{R}{R},['R'],afr
500,0.01,common,{W},['W'],mid
501,,common,,,aznr
502,0.10,common,{4}{B/R},"['B', 'R']",shm
503,0.10,common,{6}{B},['B'],cn2
504,,rare,{2}{B}{G},"['B', 'G']",y22
505,0.39,uncommon,{W},['W'],sth
506,0.32,rare,{1}{B},['B'],ons
507,7.13,rare,,,soi
508,0.24,rare,{5}{R}{R},['R'],hou
509,0.27,uncommon,{2}{G},['G'],war
510,0.04,common,{W} // {1}{W},['W'],eld
511,0.16,rare,{3},[],soi
512,,rare,{4}{B}{B},['B'],me2
513,0.15,rare,{2}{R}{R},['R'],bng
514,0.58,rare,{3}{W}{W},['W'],xln
515,0.05,common,{R},['R'],znr
516,0.23,common,{1}{U},['U'],c18
517,0.13,uncommon,{3}{B},['B'],pcy
518,0.01,common,{1}{U},['U'],khm
519,0.07,uncommon,{2}{U}{U},['U'],jvc
520,,common,,,amh2
521,0.21,uncommon,{1}{W},['W'],ulg
522,0.03,common,{5}{G},['G'],dtk
523,0.10,uncommon,{4}{W},['W'],ktk
524,,rare,{5}{R}{R},['R'],me4
525,0.10,common,{2}{R},['R'],rav
526,,common,{4}{G},['G'],tpr
527,,common,{W},['W'],me1
528,0.09,uncommon,{2},[],fut
529,0.21,uncommon,{4},[],usg
530,0.21,common,{1}{W},['W'],mm3
531,1.17,rare,{1}{U},['U'],tor
532,5.36,mythic,{3}{W}{W},['W'],hou
533,0.26,common,,[],tfth
534,,rare,,[],pmoa
535,0.97,uncommon,{W},['W'],wwk
536,0.47,uncommon,{3}{B},['B'],ema
537,0.01,uncommon,{4}{G},['G'],cmr
538,0.57,rare,{2}{G}{W}{U},"['G', 'U', 'W']",c18
539,3.02,rare,{1}{G},['G'],mir
540,0.19,rare,{1}{W},['W'],c20
541,0.13,uncommon,{2}{R},['R'],ima
542,0.12,common,{2}{U},['U'],unh
543,0.01,uncommon,{4}{U}{U},['U'],stx
544,0.10,common,{1}{W},['W'],dis
545,,common,{2}{G},['G'],me3
546,3.24,uncommon,{2}{G},['G'],8ed
547,0.77,rare,{R},['R'],afr
548,0.12,uncommon,{3}{B}{B},['B'],wth
549,0.16,common,{3}{R},['R'],hml
550,3.08,uncommon,{U},['U'],tsr
551,0.35,rare,{1}{G}{G},['G'],cm2
552,,common,{2}{W},['W'],tpr
553,0.10,uncommon,{2}{W}{W},['W'],5ed
554,0.33,uncommon,{1}{U},['U'],jmp
555,0.05,common,{1}{B},['B'],mh1
556,2.46,rare,,[],c21
557,0.05,common,{1}{B},['B'],bbd
558,0.20,common,{1}{B},['B'],ust
559,0.08,uncommon,{G}{U},"['G', 'U']",hou
560,0.01,common,{1}{W},['W'],dom
561,0.19,uncommon,{X}{R},['R'],bbd
562,0.03,common,{2}{R},['R'],mm2
563,0.70,uncommon,{B}{B},['B'],csp
564,0.92,uncommon,{U},['U'],uma
565,0.03,common,{R},['R'],m15
566,0.11,uncommon,{2}{G},['G'],6ed
567,0.67,uncommon,{1}{W},['W'],voc
568,13.33,mythic,{6}{R}{R},['R'],c17
569,0.16,common,{2}{B},['B'],vis
570,0.01,common,{2}{R},['R'],thb
571,4.32,rare,{4},[],cns
572,,rare,{2},[],me3
573,1.29,rare,{5}{U}{U},['U'],shm
574,0.32,uncommon,{W}{U},"['U', 'W']",ddi
575,0.32,rare,{B}{B},['B'],mmq
576,,uncommon,{2}{B},['B'],j21
577,0.02,common,{2}{G},['G'],m20
578,0.28,rare,{4}{R}{R},['R'],gn2
579,0.21,uncommon,{4},[],c13
580,0.14,uncommon,{2}{W}{W},['W'],mmq
581,11.78,rare,{2}{U},['U'],uma
582,0.05,common,,['W'],und
583,0.01,common,{2}{R},['R'],eld
584,0.01,common,{4}{G}{G},['G'],afr
585,0.43,rare,{5}{G}{G},['G'],iko
586,0.12,common,{1}{R},['R'],mmq
587,0.01,common,{1}{W},['W'],mid
588,2.23,common,,[],ogw
589,0.04,uncommon,{3}{W},['W'],bbd
590,0.49,uncommon,{2}{R},['R'],ori
591,2.09,rare,{4}{R},['R'],cm2
592,0.15,uncommon,{1}{W},['W'],por
593,,mythic,{4}{W}{W},['W'],ddo
594,0.04,uncommon,{U},['U'],znr
595,5.76,mythic,{4}{U}{B}{B}{R},"['B', 'R', 'U']",e01
596,0.13,uncommon,{R},['R'],ema
597,0.44,rare,{2}{G},['G'],m21
598,,rare,{4},[],me1
599,0.57,common,,[],oe01
600,0.01,uncommon,{4}{B},['B'],cmr
601,0.04,common,{3}{B},[],bfz
602,7.74,mythic,{4},[],dom
603,0.01,uncommon,{1}{G}{W},"['G', 'W']",mid
604,0.26,rare,{3}{R},['R'],c15
605,0.10,uncommon,{3},[],voc
606,0.05,common,{3}{U},['U'],csp
607,0.10,common,{3}{W},['W'],gn2
608,4.63,rare,{4}{R}{R}{R},['R'],m20
609,0.25,common,{2}{G},['G'],rtr
610,0.03,common,{2}{R},['R'],mh1
611,0.16,uncommon,{1}{G},['G'],ody
612,0.08,uncommon,{4}{W},['W'],isd
613,14.72,rare,{1}{R},['R'],wth
614,0.13,special,{2}{U}{U},['U'],tsb
615,0.53,rare,{4}{B}{B},['B'],m13
616,1.22,rare,{2}{W},['W'],khc
617,0.64,mythic,{X}{2}{G},['G'],stx
618,0.14,uncommon,{3}{R},['R'],dtk
619,,common,{4}{U},['U'],me2
620,0.19,rare,{4}{R}{G},"['G', 'R']",c18
621,0.09,common,{X}{2}{B},['B'],inv
622,,uncommon,{W}{U},"['U', 'W']",me2
623,0.16,common,{2}{W},['W'],dis
624,1.75,mythic,{1}{G}{U},"['G', 'U']",stx
